Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"FUNDC1","FUN14 Domain Containing 1","Protein Coding","Q8IVP5","47","GC0XM044523","5.48565626144409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUNDC1"
"MFN2","Mitofusin 2","Protein Coding","O95140","60","GC01P011980","5.28005886077881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2"
"BECN1","Beclin 1","Protein Coding","Q14457","59","GC17M042810","5.21946382522583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN1"
"CSNK2A2","Casein Kinase 2 Alpha 2","Protein Coding","P19784","58","GC16M058157","4.78370189666748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A2"
"TOMM7","Translocase Of Outer Mitochondrial Membrane 7","Protein Coding","Q9P0U1","49","GC07M023017","4.78370189666748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM7"
"CSNK2A1","Casein Kinase 2 Alpha 1","Protein Coding","P68400","63","GC20M000472","4.64335489273071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A1"
"TBK1","TANK Binding Kinase 1","Protein Coding","Q9UHD2","61","GC12P081858","4.64335489273071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","63","GC20P037344","4.56711196899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"ATG7","Autophagy Related 7","Protein Coding","O95352","56","GC03P028804","4.51409482955933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG7"
"ATG13","Autophagy Related 13","Protein Coding","O75143","53","GC11P049465","4.42740917205811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG13"
"RPS27A","Ribosomal Protein S27a","Protein Coding","P62979","56","GC02P055231","4.402503490448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27A"
"UBB","Ubiquitin B","Protein Coding","P0CG47","56","GC17P016380","4.402503490448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBB"
"UBC","Ubiquitin C","Protein Coding","P0CG48","56","GC12M124911","4.402503490448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC"
"UBA52","Ubiquitin A-52 Residue Ribosomal Protein Fusion Product 1","Protein Coding","P62987","48","GC19P018563","4.402503490448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA52"
"CSNK2B","Casein Kinase 2 Beta","Protein Coding","P67870","61","GC06P190711","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2B"
"UBE2N","Ubiquitin Conjugating Enzyme E2 N","Protein Coding","P61088","59","GC12M093406","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2N"
"UBE2L3","Ubiquitin Conjugating Enzyme E2 L3","Protein Coding","P68036","58","GC22P021549","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2L3"
"UBE2D2","Ubiquitin Conjugating Enzyme E2 D2","Protein Coding","P62837","56","GC05P139526","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D2"
"UBE2D3","Ubiquitin Conjugating Enzyme E2 D3","Protein Coding","P61077","56","GC04M102794","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D3"
"VDAC2","Voltage Dependent Anion Channel 2","Protein Coding","P45880","56","GC10P075210","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC2"
"VDAC3","Voltage Dependent Anion Channel 3","Protein Coding","Q9Y277","56","GC08P045500","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC3"
"MFN1","Mitofusin 1","Protein Coding","Q8IWA4","55","GC03P179347","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN1"
"TOMM40","Translocase Of Outer Mitochondrial Membrane 40","Protein Coding","O96008","53","GC19P044890","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM40"
"TOMM20","Translocase Of Outer Mitochondrial Membrane 20","Protein Coding","Q15388","52","GC01M235109","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM20"
"TOMM70","Translocase Of Outer Mitochondrial Membrane 70","Protein Coding","O94826","50","GC03M100364","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM70"
"PGAM5","PGAM Family Member 5, Mitochondrial Serine/Threonine Protein Phosphatase","Protein Coding","Q96HS1","49","GC12P132710","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGAM5"
"UBE2V1","Ubiquitin Conjugating Enzyme E2 V1","Protein Coding","Q13404","49","GC20M050082","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2V1"
"TOMM22","Translocase Of Outer Mitochondrial Membrane 22","Protein Coding","Q9NS69","47","GC22P038681","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM22"
"MTERF3","Mitochondrial Transcription Termination Factor 3","Protein Coding","Q96E29","43","GC08M096240","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTERF3"
"TOMM5","Translocase Of Outer Mitochondrial Membrane 5","Protein Coding","Q8N4H5","43","GC09M037582","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM5"
"TOMM6","Translocase Of Outer Mitochondrial Membrane 6","Protein Coding","Q96B49","40","GC06P041787","4.14699792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM6"
"AMBRA1","Autophagy And Beclin 1 Regulator 1","Protein Coding","Q9C0C7","49","GC11M142636","4.09962511062622","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMBRA1"
"ATG10","Autophagy Related 10","Protein Coding","Q9H0Y0","52","GC05P081972","4.06948709487915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG10"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","4.01726341247559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"RB1CC1","RB1 Inducible Coiled-Coil 1","Protein Coding","Q8TDY2","56","GC08M052622","3.9484658241272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1CC1"
"PIK3C3","Phosphatidylinositol 3-Kinase Catalytic Subunit Type 3","Protein Coding","Q8NEB9","63","GC18P041955","3.79070520401001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C3"
"HDAC6","Histone Deacetylase 6","Protein Coding","Q9UBN7","66","GC0XP048801","3.68292307853699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC6"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","3.67958641052246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"ATG16L1","Autophagy Related 16 Like 1","Protein Coding","Q676U5","55","GC02P235454","3.63838052749634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1"
"ATG3","Autophagy Related 3","Protein Coding","Q9NT62","53","GC03M112532","3.63838052749634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG3"
"ATG4A","Autophagy Related 4A Cysteine Peptidase","Protein Coding","Q8WYN0","50","GC0XP108091","3.63029599189758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4A"
"ATG14","Autophagy Related 14","Protein Coding","Q6ZNE5","49","GC14M055366","3.63029599189758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG14"
"LAMP2","Lysosomal Associated Membrane Protein 2","Protein Coding","P13473","57","GC0XM120426","3.45206308364868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP2"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","3.45076394081116","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"ATG4C","Autophagy Related 4C Cysteine Peptidase","Protein Coding","Q96DT6","46","GC01P062784","3.32119560241699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4C"
"UVRAG","UV Radiation Resistance Associated","Protein Coding","Q9P2Y5","53","GC11P075815","3.19918966293335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UVRAG"
"PIK3R4","Phosphoinositide-3-Kinase Regulatory Subunit 4","Protein Coding","Q99570","58","GC03M130678","3.06780004501343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R4"
"GABARAPL2","GABA Type A Receptor Associated Protein Like 2","Protein Coding","P60520","56","GC16P075566","3.06682896614075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAPL2"
"GABARAPL1","GABA Type A Receptor Associated Protein Like 1","Protein Coding","Q9H0R8","52","GC12P010212","3.06682896614075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAPL1"
"ULK2","Unc-51 Like Autophagy Activating Kinase 2","Protein Coding","Q8IYT8","55","GC17M100317","3.00037479400635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK2"
"PRKAA2","Protein Kinase AMP-Activated Catalytic Subunit Alpha 2","Protein Coding","P54646","62","GC01P056645","2.99804711341858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA2"
"ATG4B","Autophagy Related 4B Cysteine Peptidase","Protein Coding","Q9Y4P1","54","GC02P241637","2.95938587188721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4B"
"ATG4D","Autophagy Related 4D Cysteine Peptidase","Protein Coding","Q86TL0","43","GC19P010543","2.95938587188721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4D"
"MAP1LC3C","Microtubule Associated Protein 1 Light Chain 3 Gamma","Protein Coding","Q9BXW4","43","GC01M241995","2.95938587188721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3C"
"MLST8","MTOR Associated Protein, LST8 Homolog","Protein Coding","Q9BVC4","54","GC16P002204","2.89893269538879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLST8"
"RPTOR","Regulatory Associated Protein Of MTOR Complex 1","Protein Coding","Q8N122","57","GC17P080544","2.89008927345276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPTOR"
"ATG101","Autophagy Related 101","Protein Coding","Q9BSB4","48","GC12P081430","2.89008927345276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG101"
"GABARAP","GABA Type A Receptor-Associated Protein","Protein Coding","O95166","55","GC17M007240","2.83193850517273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAP"
"HMGB1","High Mobility Group Box 1","Protein Coding","P09429","63","GC13M030456","2.78264617919922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"HSPA8","Heat Shock Protein Family A (Hsp70) Member 8","Protein Coding","P11142","62","GC11M123057","2.78248763084412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8"
"ULK3","Unc-51 Like Kinase 3","Protein Coding","Q6PHR2","50","GC15M074836","2.70603895187378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK3"
"BNIP3","BCL2 Interacting Protein 3","Protein Coding","Q12983","54","GC10M131966","2.69770693778992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3"
"USP30","Ubiquitin Specific Peptidase 30","Protein Coding","Q70CQ3","50","GC12P109027","2.66732954978943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP30"
"WIPI1","WD Repeat Domain, Phosphoinositide Interacting 1","Protein Coding","Q5MNZ9","53","GC17M068420","2.65633749961853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WIPI1"
"TIGAR","TP53 Induced Glycolysis Regulatory Phosphatase","Protein Coding","Q9NQ88","52","GC12P080231","2.59808015823364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIGAR"
"SH3GLB1","SH3 Domain Containing GRB2 Like, Endophilin B1","Protein Coding","Q9Y371","48","GC01P086704","2.52714085578918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3GLB1"
"ATG9B","Autophagy Related 9B","Protein Coding","Q674R7","48","GC07M151012","2.49895739555359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG9B"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","Q99497","60","GC01P083149","2.49172878265381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","65","GC14M102080","2.45073986053467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"VCP","Valosin Containing Protein","Protein Coding","P55072","62","GC09M035946","2.45073986053467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","2.4489905834198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"AKT1S1","AKT1 Substrate 1","Protein Coding","Q96B36","53","GC19M049869","2.40257596969604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1S1"
"PRKAA1","Protein Kinase AMP-Activated Catalytic Subunit Alpha 1","Protein Coding","Q13131","59","GC05M040759","2.4008321762085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA1"
"TFEB","Transcription Factor EB","Protein Coding","P19484","55","GC06M111771","2.4008321762085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFEB"
"WIPI2","WD Repeat Domain, Phosphoinositide Interacting 2","Protein Coding","Q9Y4P8","53","GC07P005190","2.4008321762085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WIPI2"
"HTRA2","HtrA Serine Peptidase 2","Protein Coding","O43464","59","GC02P074529","2.33434867858887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA2"
"ATG16L2","Autophagy Related 16 Like 2","Protein Coding","Q8NAA4","44","GC11P072814","2.32268190383911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L2"
"VPS33A","VPS33A Core Subunit Of CORVET And HOPS Complexes","Protein Coding","Q96AX1","52","GC12M122229","2.19523453712463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS33A"
"VPS18","VPS18 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","Q9P253","51","GC15P040894","2.19523453712463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS18"
"VPS39","VPS39 Subunit Of HOPS Complex","Protein Coding","Q96JC1","49","GC15M049769","2.19523453712463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS39"
"LAMTOR1","Late Endosomal/Lysosomal Adaptor, MAPK And MTOR Activator 1","Protein Coding","Q6IAA8","45","GC11M072085","2.19523453712463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMTOR1"
"RPS6KB1","Ribosomal Protein S6 Kinase B1","Protein Coding","P23443","63","GC17P059893","2.06785106658936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1"
"WDR45","WD Repeat Domain 45","Protein Coding","Q9Y484","52","GC0XM049074","2.06785106658936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR45"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108222","2.03062558174133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"RAB7A","RAB7A, Member RAS Oncogene Family","Protein Coding","P51149","61","GC03P144168","2.03062558174133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB7A"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","P14136","60","GC17M101088","2.03062558174133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"EEF1A1","Eukaryotic Translation Elongation Factor 1 Alpha 1","Protein Coding","P68104","57","GC06M112131","2.03062558174133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A1"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P128054","2.00260066986084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"PRKAG2","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 2","Protein Coding","Q9UGJ0","62","GC07M151556","1.95438313484192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG2"
"PRKAB1","Protein Kinase AMP-Activated Non-Catalytic Subunit Beta 1","Protein Coding","Q9Y478","60","GC12P119667","1.95438313484192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAB1"
"TRAF6","TNF Receptor Associated Factor 6","Protein Coding","Q9Y4K3","59","GC11M036467","1.95438313484192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6"
"PRKAB2","Protein Kinase AMP-Activated Non-Catalytic Subunit Beta 2","Protein Coding","O43741","57","GC01M147155","1.95438313484192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAB2"
"PRKAG1","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 1","Protein Coding","P54619","57","GC12M049002","1.95438313484192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG1"
"PRKAG3","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 3","Protein Coding","Q9UGI9","53","GC02M218823","1.95438313484192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG3"
"NBR1","NBR1 Autophagy Cargo Receptor","Protein Coding","Q14596","51","GC17P043170","1.95438313484192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBR1"
"DAPK1","Death Associated Protein Kinase 1","Protein Coding","P53355","62","GC09P087497","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1"
"USP10","Ubiquitin Specific Peptidase 10","Protein Coding","Q14694","56","GC16P130359","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP10"
"IFI16","Interferon Gamma Inducible Protein 16","Protein Coding","Q16666","55","GC01P158999","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI16"
"DEPTOR","DEP Domain Containing MTOR Interacting Protein","Protein Coding","Q8TB45","53","GC08P119873","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEPTOR"
"RAB8A","RAB8A, Member RAS Oncogene Family","Protein Coding","P61006","52","GC19P016111","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB8A"
"RUBCN","Rubicon Autophagy Regulator","Protein Coding","Q92622","52","GC03M199246","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUBCN"
"TMEM59","Transmembrane Protein 59","Protein Coding","Q9BXS4","51","GC01M054031","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM59"
"DAP","Death Associated Protein","Protein Coding","P51397","50","GC05M010679","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAP"
"RAB39B","RAB39B, Member RAS Oncogene Family","Protein Coding","Q96DA2","50","GC0XM155259","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB39B"
"WDR45B","WD Repeat Domain 45B","Protein Coding","Q5MNZ6","49","GC17M082614","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR45B"
"ATG2B","Autophagy Related 2B","Protein Coding","Q96BY7","48","GC14M125372","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG2B"
"DRAM2","DNA Damage Regulated Autophagy Modulator 2","Protein Coding","Q6UX65","48","GC01M111117","1.90324234962463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRAM2"
"BCL2L1","BCL2 Like 1","Protein Coding","Q07817","63","GC20M031664","1.86373734474182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","P49841","64","GC03M119821","1.86225342750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B"
"RHEB","Ras Homolog, MTORC1 Binding","Protein Coding","Q15382","63","GC07M151466","1.86225342750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHEB"
"BAD","BCL2 Associated Agonist Of Cell Death","Protein Coding","Q92934","57","GC11M142925","1.86225342750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAD"
"VMP1","Vacuole Membrane Protein 1","Protein Coding","Q96GC9","47","GC17P059707","1.86225342750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VMP1"
"CTSK","Cathepsin K","Protein Coding","P43235","62","GC01M168466","1.83799195289612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSK"
"FZD5","Frizzled Class Receptor 5","Protein Coding","Q13467","58","GC02M207762","1.83799195289612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD5"
"FKBP8","FKBP Prolyl Isomerase 8","Protein Coding","Q14318","57","GC19M112176","1.83799195289612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP8"
"BNIP3L","BCL2 Interacting Protein 3 Like","Protein Coding","O60238","55","GC08P026383","1.83799195289612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3L"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","66","GC12P068808","1.82518649101257","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"INS","Insulin","Protein Coding","P01308","60","GC11M002159","1.82518649101257","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","P13569","66","GC07P117287","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"VIM","Vimentin","Protein Coding","P08670","63","GC10P017227","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM"
"PCNT","Pericentrin","Protein Coding","O95613","55","GC21P046324","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNT"
"PLIN2","Perilipin 2","Protein Coding","Q99541","55","GC09M019328","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN2"
"PLIN3","Perilipin 3","Protein Coding","O60664","54","GC19M111678","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN3"
"IFT88","Intraflagellar Transport 88","Protein Coding","Q13099","53","GC13P021420","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT88"
"ARL13B","ARF Like GTPase 13B","Protein Coding","Q3SXY8","50","GC03P093980","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL13B"
"CETN1","Centrin 1","Protein Coding","Q12798","50","GC18P000580","1.78977429866791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETN1"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","P08069","68","GC15P098648","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","66","GC18P051028","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"HSP90AB1","Heat Shock Protein 90 Alpha Family Class B Member 1","Protein Coding","P08238","63","GC06P044246","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"IL6R","Interleukin 6 Receptor","Protein Coding","P08887","63","GC01P154405","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6R"
"IL6ST","Interleukin 6 Cytokine Family Signal Transducer","Protein Coding","P40189","63","GC05M055935","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6ST"
"TNFSF11","TNF Superfamily Member 11","Protein Coding","O14788","62","GC13P042562","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","60","GC12M102395","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"TNFRSF11A","TNF Receptor Superfamily Member 11a","Protein Coding","Q9Y6Q6","59","GC18P062325","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A"
"BMP2","Bone Morphogenetic Protein 2","Protein Coding","P12643","58","GC20P006767","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"IL3","Interleukin 3","Protein Coding","P08700","57","GC05P132060","1.69887781143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL3"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"ITGB4","Integrin Subunit Beta 4","Protein Coding","P16144","62","GC17P075721","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB4"
